review_id,product_id,user_id,rating,review_text,review_date
R048,P001,U001,3,Review 48 text about product P001,2024-05-10
R049,P004,U003,4,Review 49 text about product P004,2024-04-11
R050,P002,U005,1,Review 50 text about product P002,2024-11-14
R051,P002,U005,4,Review 51 text about product P002,2024-09-17
R052,P004,U005,4,Review 52 text about product P004,2024-07-08
R053,P005,U003,4,Review 53 text about product P005,2024-05-19
R054,P003,U001,4,Review 54 text about product P003,2024-10-11
R055,P005,U001,3,Review 55 text about product P005,2024-04-02
R056,P001,U003,5,Review 56 text about product P001,2024-09-03
R057,P001,U001,4,Review 57 text about product P001,2025-02-25
R058,P002,U003,1,Review 58 text about product P002,2024-11-30
R059,P001,U004,4,Review 59 text about product P001,2025-01-12
R060,P003,U001,4,Review 60 text about product P003,2024-10-14
R061,P001,U002,2,Review 61 text about product P001,2024-08-17
R062,P003,U001,3,Review 62 text about product P003,2024-10-27
R063,P001,U004,4,Review 63 text about product P001,2024-10-31
R064,P005,U002,2,Review 64 text about product P005,2024-10-01
R065,P002,U004,1,Review 65 text about product P002,2024-06-05
R066,P005,U004,2,Review 66 text about product P005,2025-02-18
R067,P002,U005,5,Review 67 text about product P002,2024-06-16
R068,P002,U004,1,Review 68 text about product P002,2024-11-13
R069,P003,U001,1,Review 69 text about product P003,2025-01-11
R070,P004,U003,4,Review 70 text about product P004,2024-03-18
R071,P004,U002,5,Review 71 text about product P004,2025-02-23
R072,P002,U003,5,Review 72 text about product P002,2024-07-05
R073,P001,U005,4,Review 73 text about product P001,2024-07-06
R074,P004,U002,3,Review 74 text about product P004,2024-09-04
R075,P004,U002,5,Review 75 text about product P004,2024-03-23
R076,P001,U004,4,Review 76 text about product P001,2024-07-25
R077,P005,U004,3,Review 77 text about product P005,2024-06-15
R078,P004,U004,4,Review 78 text about product P004,2024-05-02
R079,P001,U003,3,Review 79 text about product P001,2025-01-16
R080,P003,U001,3,Review 80 text about product P003,2024-06-07
R081,P003,U002,4,Review 81 text about product P003,2025-02-19
R082,P005,U005,3,Review 82 text about product P005,2024-06-13
R083,P004,U001,4,Review 83 text about product P004,2025-02-16
R084,P002,U005,1,Review 84 text about product P002,2025-01-02
R085,P003,U005,3,Review 85 text about product P003,2024-10-07
R086,P004,U004,1,Review 86 text about product P004,2024-12-13
R087,P002,U002,2,Review 87 text about product P002,2024-12-01
R088,P003,U002,3,Review 88 text about product P003,2024-06-27
R089,P002,U002,2,Review 89 text about product P002,2025-01-16
R090,P001,U002,5,Review 90 text about product P001,2024-02-29
R091,P002,U001,3,Review 91 text about product P002,2024-04-27
R092,P003,U005,1,Review 92 text about product P003,2024-07-04
R093,P004,U001,2,Review 93 text about product P004,2025-02-22
R094,P005,U004,2,Review 94 text about product P005,2025-01-23
R095,P003,U005,1,Review 95 text about product P003,2024-08-17
R096,P001,U004,1,Review 96 text about product P001,2024-07-23
R097,P003,U004,4,Review 97 text about product P003,2024-03-07
R098,P002,U005,2,Review 98 text about product P002,2024-09-22
R099,P004,U003,2,Review 99 text about product P004,2024-02-29
R100,P004,U003,2,Review 100 text about product P004,2024-11-24
